$AMRN strong with over million shares. Exit plan coming weeks,Bullish
Solar looking great $scty $fslr,Bullish
$aapl Just nasty! woof! woof!,Bearish
$nflx The MACD is pointing nearly straight down. Its got a lot of work to do to get out of this situation,Bearish
$NFLX dead cat.,Bearish
$NFLX adding puts on this dead cat,Bearish
"$nflx finally breaking this support. Jeez, that was exhausting. http://stks.co/a04wM",Bearish
$nflx so pumped! Clear this was a dead cat bounce all day! 3335 at least tomorrow!,Bearish
$nflx Not looking good for poor ole Netflix. It has inflicted some serious damage to its chart http://stks.co/tpum,Bearish
$NFLX Ichan is panic selling right now,Bearish
When you see $goog rolling over before a job report it&#39;s time to sell! $nflx $amzn $aapl,Bearish
$NFLX  no reason at all to own it here,Bearish
BTFD greatest strategy out there $goog $aapl $nflx $wynn $spy,Bullish
"This market will never allow a follow thru day to the downside, conditions are way to STRONG. BTFD $spy",Bullish
Woof! Woof! $AAPL,Bearish
$djia $spx $compq Still tough to not be amazed at the strength of the indexes.,Bullish
$wynn There goes 195 haha. Definition of falling knife,Bearish
"In my opinion, investors will use a bounce tomorrow (gap up) as an opportunity to take some profits. Fear is in control $spy $qqq $DIA",Bearish
@iiamthiskid get real. $twtr is going to tear higher all week!!!,Bullish
@technicalPOV I think its coming. So strong today - impossible to have weakness tomorrow $TWTR,Bullish
All stocks going out at the HIGHS! BTFD is back!!&#39; $spy $twtr $goog $fb $lnkd,Bullish
Obama: China isn&#39;t the best investment in the world anymore. America is. $goog $twtr $FB,Bullish
"$TWTR fugg it, buying even more here - this thing just wont go down!!!",Bullish
60 as support will not break for longer than a handful of minutes $TWTR,Bullish
$twtr Bears must be yanking their HAIR OUT haha,Bullish
$fb $TWTR While I do pity them - IMAGINE the pressure on the shorts right now. They will be forced to cover and buy a wig tomorrow.,Bullish
$TWTR GO BABY GO! This is even BETTER than I expected!! up 3% and CLIMBING. (up 10% tomorrow?!) its possible,Bullish
$GOOG Ditches phone business as its hit the decline phase... goodbye $AAPL,Bearish
@NuubTrade My stream is my proof. This was not luck. of course $fb was going to beat. And of course $twtr would RIP HIGHER.,Bullish
Calling a 65 close tomorrow for the bird $twtr About to BTFO (Break The F*$% Out) http://stks.co/d0ALu,Bullish
$aapl Losing ground and clout with wireless carries over iphone subsidies http://stks.co/pvu0,Bearish
"$amzn Buyers alreay piling in, stock is 10 points off the low",Bearish
$PAL I&#39;m not selling this is trending up and has no where to go but up,Bullish
$MRVL Almost past 15!,Bullish
$GMCR We should get continuation to 88-90,Bullish
$SNDK BO with $MU,Bullish
$SNDK catching up with $MU,Bullish
"$RFMD I knew someone would buy big and its Blackrock, worlds largest asset manager...",Bullish
$RFMD closed above 4.8 Morning Star Doji Bullish reversal coming on nearly 3x Avg Vol Lots of trading at these low prices.,Bullish
$CRUS $AAPL $OVTI $RFMD $SWKS $TQNT $QCOM $AVGO $TSM $CHL said it has received more than 1 million pre-orders iPhone http://stks.co/f0AQI,Bullish
$MRVL Gap fill up to 74,Bullish
$PLUG Can&#39;t wait for the pull back. Lures set at 1.85 and 1.75 respectively!,Bullish
$ARIA MACD cross over trend reversal to the upside,Bullish
$ETRM Buy anything under 2.50. This is the future.  Once approved by US this thing will explode. Buying a couple thousand Monday.,Bullish
$ARIA What&#39;s the big news? Saw a substantial increase today lol,Bullish
$ARIA Strong,Bullish
Sold $GALE bought $REFR,Bullish
$ACST Lets go !!!,Bullish
"$ARIA Where is our $2 movement , wanted it in one piece !!!",Bullish
$ARIA I believe she is on her way to new HOD,Bullish
"$ARIA G&#39;d nite lads, pub is closed",Bullish
And $ARIA goes,Bullish
$RNN West coast up yet?,Bullish
$RNN Added 5K  for monday 1.20s,Bullish
$ONVO back in,Bullish
$ONVO higher lows 5m reversal,Bullish
$THM Keeps going up up up! I love it!,Bullish
$ICLD very interesting here,Bullish
Trade idea: $ROSG over 3.67 should pop (nickel risk),Bullish
Crazy trade idea: long $LUNA 1.48 tight stop,Bullish
$MU best pure play â€¦.a global reach..min production costâ€¦.advertisement is done through the phones itself..world still wants more phones,Bullish
