$COST: Looking for a move thru $114.78 pivot level  http://stks.co/tv31,Bullish,Bullish,Correct
"$EBAY and $AAPL both downgraded, both Gene Munsters top picks of 2014! do the opposite of Gene Munster",Bearish,Bearish,Correct
$NFLX down .60% on a bloody down day after been up 50bucks yesterday! this one is strong going higher,Bullish,Bearish,Wrong
$FB lifting all social media stocks with it $TWTR $LNKD $GRPN $YELP,Bullish,Bearish,Wrong
"$AAPL will have record #&#39;s, margin increase, and great guidance and the stock will still tank on ER.... be prepared",Bearish,Bullish,Wrong
$AAPL going to do nothing but fade Tues &amp; Wed move higher into earnings... Then it won&#39;t be able to get past 550 afterwards,Bearish,Bullish,Wrong
@slush2013 I bet you selling all my $ARIA shares if you know what the term &quot;shareholder dilution&quot; actually means,Bullish,Bullish,Correct
@boduke Are you now the new @slush2013? $ARIA,Bullish,Bullish,Correct
$TSLA great setup on daily,Bullish,Bullish,Correct
$DSCO setting up really well on multiple timeframes,Bullish,Bullish,Correct
$DSCO setting up really well on multiple timeframes,Bullish,Bullish,Correct
"$CLSN flagging, looks like it wants more",Bullish,Bullish,Correct
$MNKD very nice setup on multiple timeframes,Bullish,Bullish,Correct
$OTIV on breakout watch,Bullish,Bullish,Correct
Movin On Up! $SPY $IWM $PLUG $KNDI more... http://stks.co/d06ql,Bullish,Bullish,Correct
$WYY could be getting ready for a move to $2,Bullish,Bullish,Correct
$MHR gearing for a breakout,Bullish,Bullish,Correct
$HIMX looks like it wants 15 today,Bullish,Bullish,Correct
$WYY waking up,Bullish,Bearish,Wrong
"$CAMT looks like it may not be done, could get interesting thru 540",Bullish,Bullish,Correct
$ZGNX through 4.50 could get interesting,Bullish,Bullish,Correct
$ZGNX here we go,Bullish,Bullish,Correct
$ONVO Where did all the bulls go?,Bearish,Bearish,Correct
$NUS This thing is all over the place.,Bullish,Bullish,Correct
$PLUG I&#39;m pretty sure this analysis shows things turning around here... http://stks.co/i0Dct,Bullish,Bearish,Wrong
$RXII This had better play out like I want it to... http://stks.co/j0DZn,Bullish,Bullish,Correct
$TSLA Watch out for this name for the next couple of days! Might runs wild!,Bullish,Bullish,Correct
$TWTR This is NOTHING!,Bearish,Bullish,Wrong
$FB this is NOTHING!,Bullish,Bearish,Wrong
$AMZN SUPER BULLISH,Bullish,Bullish,Correct
$TSLA You gonna get hurt shorting tsla right here!,Bullish,Bearish,Wrong
$TWTR SELL DOWN TO THE SLEEPING POINT!,Bearish,Bullish,Wrong
$TSLA Don&#39;t be on the wrong side when this thing blows up!,Bullish,Bearish,Wrong
$TWTR What did I say about twtr on Friday?,Bearish,Bullish,Wrong
$NFLX is looking great for a long once price fills that daily gap @ $334  http://stks.co/a093Z http://stks.co/a093a,Bullish,Bullish,Correct
Pre-market futures have nose dived this morning &amp; the $USD has followed suite - looks like another market bloodbath. $SPY $QQQ $APPL $GOOG,Bearish,Bearish,Correct
$TWTR is going to rip soon and its going to be glorious,Bullish,Bullish,Correct
$SNTA  will close in 7s today. 10s from next week,Bullish,Bullish,Correct
"$REFR Product better be awesome, chart is kinda meh at this point to me.",Bullish,Bearish,Wrong
$AAPL so as I said this morn (while everyboday panicked) I just hold my 250 shares and will sell 600 this montyh Plain simple,Bullish,Bullish,Correct
"@MrSoul70 $AAPL if you know how to analyse, its clear that AAPL will be close to 600 after next ER. You dont need to flip a coin Just wait",Bullish,Bullish,Correct
$SCTY This is still in the channel - wow,Bullish,Bullish,Correct
"$GOOG 1100 just above 50dy, 1000 just below last ER pop. So overbought.",Bearish,Bearish,Correct
"$F I&#39;ve been buying this stock like 5 cent candy, I think tomorrow may begin the payday!  Key the drum roll at 9:30am!!",Bullish,Bullish,Correct
$scty cmon 70!! You can do it!!!,Bullish,Bearish,Wrong
$SCTY This stock gets downgraded and comes back in green. Unbelievable,Bullish,Bearish,Wrong
$AAPL Appleâ€™s iPad Air Dominates http://stks.co/j0C7r,Bullish,Bullish,Correct
"$AAPL Apple Says International Took 64% Of Revenues In Q1, Led By Growth In China And Japan http://stks.co/f0DKm",Bullish,Bullish,Correct
$AAPL Apple is on track to repurchase $20 billion worth of shares this fiscal year. http://stks.co/pvUM,Bullish,Bullish,Correct
"$AAPL Cook, said he&#39;s very confident of year-over-year growth and that underlying results are better than they appear http://stks.co/svb1",Bullish,Bullish,Correct
$AMD 4.10 looks bear proof,Bullish,Bullish,Correct
$AMD been buying good price,Bullish,Bullish,Correct
$AMD Got my A10-7850K today!,Bullish,Bullish,Correct
$AMD AMD Catalyst 13.35 Beta Driver with Mantle API Leaked http://stks.co/qv1P,Bullish,Bearish,Wrong
"$RNN I was looking for a stock to lose all my money in and came up with this one, I hope I am right",Bearish,Bearish,Correct
$REGN OMG don&#39;t leave without me plz I&#39;ll catch you tomorrow maybe xoxo,Bullish,Bullish,Correct
$DDD $SSYS  $XONE anyone you know have one of these??  NO.,Bearish,Bullish,Wrong
$GOGO into the gap,Bearish,Bearish,Correct
"$SBUX bot lod 2day, hammer says gap n go but macro saying no, we&#39;ll know rather quickly imo",Bullish,Bearish,Wrong
"$SBUX bot lod 2day, hammer says gap n go but macro saying no, we&#39;ll know rather quickly imo",Bullish,Bearish,Wrong
"$VRNG By creating those non-voting equities, it allows them to pay V off without the board voting. They pay in stock, not cash.",Bullish,Bullish,Correct
"New blog post up http://stks.co/c03zw housing, mining, semis $PGTI $RM $GIMO $AEIS $IRF $MONT $SBGI $PKOH $SCCO",Bullish,Bearish,Wrong
"$AAPL $YHOO $GOOG $DDD or any other stock, BOTS  either paid pumpers or dumpers U suck, no place 4 U here, check sign up date,how many ideas",Bullish,Bearish,Wrong
$BBRY Stops will run soon.,Bearish,Bullish,Wrong
Swing Trading Watch-List: $JCI $KBH $LUK $OSK $WLT | SharePlanner http://stks.co/b03CU,Bullish,Bullish,Correct
