Correct ratio 72%, Test chosen every fifth twit
""
$NFLX dead cat.,Bearish,Bearish,Correct
$NFLX Ichan is panic selling right now,Bearish,Bullish,Wrong
Woof! Woof! $AAPL,Bearish,Bullish,Wrong
@technicalPOV I think its coming. So strong today - impossible to have weakness tomorrow $TWTR,Bullish,Bullish,Correct
$twtr Bears must be yanking their HAIR OUT haha,Bullish,Bearish,Wrong
Calling a 65 close tomorrow for the bird $twtr About to BTFO (Break The F*$% Out) http://stks.co/d0ALu,Bullish,Bullish,Correct
$GMCR We should get continuation to 88-90,Bullish,Bullish,Correct
$CRUS $AAPL $OVTI $RFMD $SWKS $TQNT $QCOM $AVGO $TSM $CHL said it has received more than 1 million pre-orders iPhone http://stks.co/f0AQI,Bullish,Bearish,Wrong
$ARIA What&#39;s the big news? Saw a substantial increase today lol,Bullish,Bearish,Wrong
$ARIA I believe she is on her way to new HOD,Bullish,Bullish,Correct
$ONVO back in,Bullish,Bullish,Correct
Crazy trade idea: long $LUNA 1.48 tight stop,Bullish,Bullish,Correct
$DDD $87 here we come!,Bearish,Bullish,Wrong
$EXPE will go lower. Most of its traffic are coming from search engine. 25% is a huge blow,Bearish,Bearish,Correct
"@BeyondPale It&#39;s just their quarter guidance.... Results will be out on Jan 24. 
Long $AAPL",Bullish,Bearish,Wrong
$MA I&#39;m see this as an opportunity to buy on the dip!! Long $MA and $V,Bullish,Bullish,Correct
@Dasher @GM It had to be done. They had to restructure and take losses to grow and be a better company with better products! Long $GM,Bullish,Bullish,Correct
$FB,Bullish,Bullish,Correct
"$LNKD maybe some more insiders could sell, Nah! Not possible because they all have been selling non stop for three years straight!",Bearish,Bullish,Wrong
"$LNKD failed at the 200 day MA yet again, I say the next move is lower, especially with the QQQ&#39;s looking so weak!",Bearish,Bullish,Wrong
$MGM the register continues to be rung near $24...,Bearish,Bearish,Correct
@spam0cal I&#39;m short everything but $NFLX damn it! $CAT $LVS $IBM $BTU all look like excellent shorts to me!,Bearish,Bullish,Wrong
"$BTU Under $18 is a Dnager Zone here, $WLT yet another dowgrade this am...",Bearish,Bearish,Correct
"$STSI CC tomorrow, wouldn&#39;t be surprised to see the rug completely pulled out from under shareholders!",Bearish,Bearish,Correct
"@smarterthanyou Yep $HAL I mentioned that $52 action earlier today, all at the ask too...",Bullish,Bullish,Correct
"$HAL sure is a lot of call action again today, $SLB Blow earnings out must be coming and I think smart money is buying $HAL calls to play it",Bullish,Bullish,Correct
$HLF $NUS who wants to be long over the Weekend? I look for another Unloading today! Just Watch!,Bearish,Bullish,Wrong
"@JeffMayer Have you been Brainwashed by a $NUS or $HLF representative too, like the Chinese daily claims?",Bearish,Bullish,Wrong
"$LULU I think $UA earnings are going to be seen as a negative today, LULU in a downward Spiral and still overvalued!",Bearish,Bullish,Wrong
$TWTR Good reading...http://www.sec.gov/Archives/edgar/data/1418091/000119312513431301/d564001d424b4.htm#toc564001_1,Bearish,Bullish,Wrong
$RNN Ichimoku Cloud says up we go,Bullish,Bullish,Correct
"$STRI SAYS ENTERED INTO A CONTRACT MANUFACTURING AGREEMENT WITH FEIYU, A CHINESE SOLAR ENCAPSULANT MANUFACTURER",Bullish,Bullish,Correct
$GLUU i think it will move now again to 4.20,Bullish,Bearish,Wrong
$CELG In $165 calls again.  This time at 0.87c.  50 of them.  Double bottom.  http://stks.co/rpQG,Bullish,Bullish,Correct
$HEB very nice http://stks.co/e08XS,Bullish,Bullish,Correct
$ARIA  New money from Mutual funds... Evryone knows it&#39;s going up,Bullish,Bullish,Correct
$AAPL &quot;Apple&#39;s Angela Ahrendts: &#39;Wicked smart&#39; and empathetic too&quot; http://stks.co/qpis,Bullish,Bullish,Correct
&quot;@RobertinGatos: Ichan is at least buying. Too bad TC and Oppe are not better marketeers for $AAPL&quot; / MARCH share holder Mtg. Be early 6am,Bullish,Bullish,Correct
@Toqeer @MrPatrickBateman You might be surprised... this consolidation all day gets a lot of attention from those looking for breakouts $RNN,Bullish,Bullish,Correct
$ARMH looks like a safe play on a 7-14 day swing trade.  Maybe 4-6% gains in the next week. Lots of gap to fill back to $55. $AAPL Thoughts?,Bullish,Bullish,Correct
$ARIA machines joined the fun?,Bullish,Bullish,Correct
$BGMD @Sven_M Nothing like a Bull Market I always.,Bullish,Bullish,Correct
$UNXL JTOUCH will prchs the output of touch sensor film that will be prodcd by a Kingsbury mfging facility @ Eastman Bsnss Park in Rochester,Bullish,Bearish,Wrong
$TPH I will make a prediction ...keep ur eyes open and watch for a big block trade. That&#39;s my guess.,Bullish,Bearish,Wrong
$BGMD Q4 = mid March..........Q1 = early May Aproximate.,Bullish,Bullish,Correct
$SSYS JUST LOOK AT CHARTS. A little dip is Completely normal. Buy now or pull your hair out later,Bullish,Bullish,Correct
"$VRNG people who have to wait until the billion dollars hits vringo&#39;s bank account will never succeed in investing, that&#39;s not investing",Bullish,Bearish,Wrong
$TWTR Not a lot of support underneath $55.,Bearish,Bullish,Wrong
$ARIA I still think this stock is under value I sold out at 9.50 bought it at 6.73. I will buy when it begins to move towards 8.30.,Bullish,Bullish,Correct
$TSO Oops Forgot Chart: Unusual Call Volume for Refiners across the board http://stks.co/qpzB http://stks.co/j08FH,Bullish,Bullish,Correct
$MSTX We&#39;ve got a runner here!!!! Long 15k @ .74...I expect gap up and run more tomorrow..,Bullish,Bullish,Correct
$RNN $ARIA $AMRN $MSTX $GALE Keep an eye on $IPCI guys...we&#39;ve got a runner today..could really breakout soon.,Bullish,Bullish,Correct
Watchlist for Tuesday Jan. 21st - $INO (breakout) $DCTH (bottom) $SLV (bottom) $AMD (big ER) $PSTI (big data) $HAL (ER) $BBY (wait 4 bottom),Bullish,Bullish,Correct
Current Long - $INO (breakout/data/undervalued) $AAPL (ER/Undervalued) $FITX (Momo/partner/license) - Watching $RNN $DMND $SLV $EWW $CVM etc,Bullish,Bullish,Correct
$IMRS Should touch $2 easily and possibly move  past,Bullish,Bullish,Correct
$OXBT lots of accumulation over the past week or so...feel something big brewing,Bullish,Bullish,Correct
$RNN this is the big boys bringing the price down before a big announcement. Seen it many times.,Bullish,Bearish,Wrong
$ZBB fair price 2 buy soon,Bullish,Bullish,Correct
$KNDI Downward channel support has increased almost everyday. 11.50/11.95/12.30/12.50/12.80...13.30 could be new support soon.,Bullish,Bullish,Correct
@petetrade $KNDI you know that is what I think. This 20DMA stuff has not happened yet for traders and they continue to chase.,Bullish,Bearish,Wrong
$KNDI http://stks.co/pvMr http://stks.co/tv3T http://stks.co/pvMs Your DD follow the numbers. This goes much higher.,Bullish,Bullish,Correct
$BAC BOOM !!!!!!!!!!,Bullish,Bullish,Correct
$VRNG  Obama to mention $VRNG v $GOOG in his speech tonight...,Bullish,Bearish,Wrong
$AAPL huge green spike on the 5-min chart,Bullish,Bullish,Correct
Loving the $ADHD and $BLUE from here,Bullish,Bullish,Correct
"$TWTR $FB 18% of online adults use Twitter, up from 16% a year ago. http://stks.co/g06ra",Bullish,Bearish,Wrong
$LNKD No Vol. P/E over 1000 1/3 short position,Bearish,Bearish,Correct
$AMD Took this screencap the other day. Who else say these nice trades occur?  http://stks.co/d06Tp,Bullish,Bullish,Correct
$ARIA will provide an overview of the company&#39;s business on Jan. 14th.expecting renewed interest once investors are updated on its progress.,Bullish,Bullish,Correct
combining $VRNG global distro platform and research &amp; dev platform with Infomedia&#39;s product offerings &amp; services creates a valuable synergy,Bullish,Bullish,Correct
$MEA now has no major res until 2.81 nice late day setup here,Bullish,Bullish,Correct
&quot;@Roses_Wilting: $FSLR Sell by Goldman. $KNDI buy on JV by Goldman.  This years FSLR could be KNDI.&quot;,Bullish,Bullish,Correct
&quot;@Deluxeones: $KNDI *NEW* article from Alternative Energy Stocks: Kandi - &quot;The Other Electric Car Company&quot;  http://stks.co/a04lH&quot; $TSLA,Bullish,Bearish,Wrong
$MNKD eheheh,Bullish,Bullish,Correct
$KNDI tomorrow back to the 14&#39;s,Bullish,Bullish,Correct
$DRWI quietly up little by little a/h tomorrow is gonna be fun,Bullish,Bullish,Correct
$AMRN eod weekend buying runup for pre market PR tuesday,Bullish,Bullish,Correct
"$AMRN EPA shown to benefit attention deficit/hyperactivity disorder ($ADHD), autism, dyspraxia, &amp; dyslexia",Bullish,Bullish,Correct
