created_at,tweet
2015-12-06 20:58:59 UTC,$TVIX $Spy $NUGT Can someone tell @usaolympian that I am not a Troll and do appreciate his comments on here and would like to be unblocked.
2015-12-31 16:02:50 UTC,$TVIX $SPY $VIX Could we see 53 again on the VIX?
2015-12-07 15:32:24 UTC,$PEIX just amazed this is down with the technicals and news that supports 5+ easily
2015-12-08 13:47:48 UTC,"$PEIX One would think with more fuel supply requiring more ethanol that this would be way higher..crude price shouldn&#39;t drive it, gas should"
2015-12-10 19:24:10 UTC,$PEIX Tomorrow will confirm whether or not this is making higher lows or lower highs...if not...double bottom will occur on WTI washout
2015-12-10 20:08:28 UTC,$PEIX We haven&#39;t seen 4 green days in a row in quite a while...what does tomorrow bring?
2015-12-14 15:02:05 UTC,$ETP Hilarious...dropped over 4% in less than 2 minutes...
2015-12-14 21:08:29 UTC,$ETP Overdone...bounce tomorrow
2015-12-16 14:40:46 UTC,$ETP Options expiration and selling exhausting itself...ready for a bounce imho
2015-12-18 21:13:01 UTC,$ETE Garbage stock...
2015-12-22 20:39:09 UTC,$ETP Doji reversal confirmed on strong volume today...looking for 33.50-33.75 for inverse H&amp;S right neck line...
2015-12-31 20:03:12 UTC,"$PEIX Interesting formation RSI near month peak in clear descending wedge, could go either way, hope for January effect, Happy New Year all!"
2015-12-30 20:21:55 UTC,$GOOGL can&#39;t keep Google down. Taking a breather as it pushes it&#39;s all time high
2015-12-07 15:18:28 UTC,$SUNE $JKS $SPWR $TSL $SCTY are still green. This is a trap.
2015-12-16 15:32:56 UTC,$SUNE $SCTY $ENPH is the better choice.
2015-12-05 23:18:26 UTC,@WallStJesus $SBUX Good!
2015-12-22 15:30:06 UTC,$UDF SHOULD HAVE STAYED IN TIS MONSTER OF A STOCK EXPLODE KABOW
2015-12-22 01:53:22 UTC,$MRO SeekingAlpha has an update on the health of MRO
2015-12-08 04:11:48 UTC,$OUTR mortgage the house and buy puts. this thing is going to $10 in less than a year.
2015-12-14 10:55:29 UTC,"Share an idea on $NG_F Guys, be honest. Where is the bottom? Crude is not falling today? Only NG, wth?"
2015-12-14 11:45:26 UTC,"$NG_F To big to fall, to cheap to be cheaper."
